"","chunk_id","sentence_id","group","start","end","duration","transcript","question_mark","elipses","nwords","duration_seconds","words_per_second","word_present_maybe","word_present_sort_of","word_present_unsure","word_present_dont_know","word_present_confused","word_present_possibly","liwc_certitude","chunk_sum_turn_duration","chunk_mean_turn_duration","chunk_count_duration","chunk_median_turn_duration","chunk_sd_turn_duration","pd_chunk_sum_pitch","pd_chunk_mean_pitch","pd_chunk_median_pitch","pd_chunk_sd_pitch","pd_chunk_sum_loudness","pd_chunk_mean_loudness","pd_chunk_median_loudness","pd_chunk_sd_loudness"
"195","(678,708]",195,"orange","00:11:20","00:11:21",1,"I hope he dies in the car.",FALSE,FALSE,7,1,6.04799999999935,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25.0399770000001,8.34665900000005,3,11.4299920000001,5.54962515461693,314663.74308,104.88791436,71.825215,112.880926747493,463.759817290001,0.154586605763333,0.1385014,0.0827311493156337
"196","(678,708]",196,"orange","00:11:21","00:11:22",1,"Mr. Finnelli?",TRUE,FALSE,2,1,1.72800000000007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25.0399770000001,8.34665900000005,3,11.4299920000001,5.54962515461693,314663.74308,104.88791436,71.825215,112.880926747493,463.759817290001,0.154586605763333,0.1385014,0.0827311493156337
"197","(678,708]",197,"orange","00:11:22","00:11:23",1,"I don't believe Mr. Finnelli.",FALSE,FALSE,5,1,4.32000000000018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25.0399770000001,8.34665900000005,3,11.4299920000001,5.54962515461693,314663.74308,104.88791436,71.825215,112.880926747493,463.759817290001,0.154586605763333,0.1385014,0.0827311493156337
"198","(678,708]",198,"orange","00:11:23","00:11:24",1,"Because he did this.",FALSE,FALSE,4,1,3.45599999999963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25.0399770000001,8.34665900000005,3,11.4299920000001,5.54962515461693,314663.74308,104.88791436,71.825215,112.880926747493,463.759817290001,0.154586605763333,0.1385014,0.0827311493156337
"199","(678,708]",199,"orange","00:11:24","00:11:26",2,"No, he's letting us go home.",FALSE,FALSE,6,2,2.59200000000011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25.0399770000001,8.34665900000005,3,11.4299920000001,5.54962515461693,314663.74308,104.88791436,71.825215,112.880926747493,463.759817290001,0.154586605763333,0.1385014,0.0827311493156337
"200","(678,708]",200,"orange","00:11:26","00:11:27",1,"Wait, really?",TRUE,FALSE,2,1,1.72800000000007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,25.0399770000001,8.34665900000005,3,11.4299920000001,5.54962515461693,314663.74308,104.88791436,71.825215,112.880926747493,463.759817290001,0.154586605763333,0.1385014,0.0827311493156337
"201","(678,708]",201,"orange","00:11:27","00:11:28",1,"It's been like this all day.",FALSE,FALSE,6,1,5.18399999999944,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25.0399770000001,8.34665900000005,3,11.4299920000001,5.54962515461693,314663.74308,104.88791436,71.825215,112.880926747493,463.759817290001,0.154586605763333,0.1385014,0.0827311493156337
"202","(678,708]",202,"orange","00:11:28","00:11:29",1,"I didn't know that.",FALSE,FALSE,4,1,3.45600000000015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25.0399770000001,8.34665900000005,3,11.4299920000001,5.54962515461693,314663.74308,104.88791436,71.825215,112.880926747493,463.759817290001,0.154586605763333,0.1385014,0.0827311493156337
"203","(678,708]",203,"orange","00:11:29","00:11:31",2,"Yeah, they posted it yesterday.",FALSE,FALSE,5,2,2.15999999999993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25.0399770000001,8.34665900000005,3,11.4299920000001,5.54962515461693,314663.74308,104.88791436,71.825215,112.880926747493,463.759817290001,0.154586605763333,0.1385014,0.0827311493156337
"204","(678,708]",204,"orange","00:11:31","00:11:33",2,"It's like, he said that we can go home.",FALSE,FALSE,9,2,3.88800000000016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25.0399770000001,8.34665900000005,3,11.4299920000001,5.54962515461693,314663.74308,104.88791436,71.825215,112.880926747493,463.759817290001,0.154586605763333,0.1385014,0.0827311493156337
